,fsym_id,listing_currency,payment_currency,declared_date,exdate,record_date,payment_date,payment_amount,div_type,div_freq,div_initiation,skipped
1467,VBHD3D-R,USD,GBp,2019-02-18,2019-03-07,2019-03-08,2019-03-22,13.5,special,,0,False
1265,XFBRC3-R,USD,USD,2021-11-02,2021-11-10,2021-11-12,2021-11-19,0.575,special,,0,False
